Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), >=65","All causes, by age (years), >=65, flag","All causes, by age (years), 45-64","All causes, by age (years), 45-64, flag","All causes, by age (years), 25-44","All causes, by age (years), 25-44, flag","All causes, by age (years), 1-24","All causes, by age (years), 1-24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I Total,"P&I Total, flag",Location 1,Location 2
"Omaha, NE",2016,31,72,,54,,14,,1,,2,,1,,5,,"Omaha, NE (46.07035, -93.666319)",
"Allentown, PA",2016,31,33,,24,,8,,,-,,-,1,,,-,"Allentown, PA (40.602753, -75.469759)",
"Tampa, FL",2016,31,122,,75,,32,,9,,3,,3,,4,,"Tampa, FL (37.8606, -78.804199)",
"Albany, NY",2016,31,45,,30,,14,,,-,1,,,-,1,,"Albany, NY (42.651242, -73.755418)",
"Peoria, IL",2016,31,60,,40,,15,,3,,2,,,-,4,,"Peoria, IL (32.283586, -90.10038)",
"Somerville, MA",2016,31,3,,3,,,-,,-,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Dayton, OH",2016,31,134,,87,,36,,8,,2,,1,,10,,"Dayton, OH (39.760982, -84.192203)",
"San Jose, CA",2016,31,190,,144,,38,,2,,4,,2,,9,,"San Jose, CA (35.398134, -105.477067)",
"Erie, PA",2016,31,50,,46,,3,,1,,,-,,-,1,,"Erie, PA (34.1647, -114.300301)",
"San Antonio, TX",2016,31,273,,198,,46,,20,,7,,2,,19,,"San Antonio, TX (29.425173, -98.494599)",
"Toledo, OH",2016,31,86,,60,,20,,3,,3,,,-,6,,"Toledo, OH (41.655298, -83.535717)",
"Rochester, NY",2016,31,130,,101,,23,,5,,1,,,-,5,,"Rochester, NY (43.155708, -77.612547)",
"Waterbury, CT",2016,31,32,,19,,11,,2,,,-,,-,1,,"Waterbury, CT (41.554261, -73.043069)",
"Buffalo, NY",2016,31,101,,66,,22,,8,,4,,1,,4,,"Buffalo, NY (39.945422, -78.64671)",
"Boise, ID",2016,31,64,,44,,16,,3,,,-,1,,6,,"Boise, ID (43.597772, -83.884521)",
"Pueblo, CO",2016,31,13,,10,,1,,,-,2,,,-,,-,"Pueblo, CO (28.151559, -82.351822)",
"Washington, D.C.",2016,31,124,,73,,34,,7,,6,,4,,7,,"Washington, D.C. (38.892062, -77.019912)",
"Elizabeth, NJ",2016,31,12,,11,,1,,,-,,-,,-,1,,"Elizabeth, NJ (40.661927, -74.211653)",
"Colorado Springs, CO",2016,31,28,,20,,5,,1,,,-,2,,2,,"Colorado Springs, CO (38.835224, -104.819798)",
"Dallas, TX",2016,31,230,,127,,60,,21,,12,,10,,6,,"Dallas, TX (37.691113, -122.472221)",
"Philadelphia, PA",2016,31,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Jersey City, NJ",2016,31,21,,15,,5,,1,,,-,,-,4,,"Jersey City, NJ (40.717495, -74.044111)",
"Cleveland, OH",2016,31,305,,197,,83,,16,,6,,3,,7,,"Cleveland, OH (41.505546, -81.6915)",
"Pittsburgh, PA_",2016,31,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"San Francisco, CA",2016,31,105,,73,,25,,4,,1,,2,,7,,"San Francisco, CA (37.78008, -122.420168)",
"Minneapolis, MN",2016,31,66,,31,,25,,5,,3,,2,,3,,"Minneapolis, MN (44.977479, -93.264346)",
"Mobile, AL",2016,31,84,,56,,15,,8,,3,,2,,3,,"Mobile, AL (34.661541, -77.695461)",
"Ogden, UT",2016,31,162,,99,,43,,12,,4,,4,,9,,"Ogden, UT (41.222761, -111.970419)",
"Reading, PA",2016,31,26,,22,,4,,,-,,-,,-,1,,"Reading, PA (40.336919, -75.921965)",
"El Paso, TX",2016,31,95,,66,,22,,6,,,-,1,,3,,"El Paso, TX (31.76006, -106.492257)",
"Kansas City, MO",2016,31,105,,71,,27,,3,,,-,2,,9,,"Kansas City, MO (39.099792, -94.578559)",
"Salt Lake City, UT",2016,31,162,,99,,43,,12,,4,,4,,9,,"Salt Lake City, UT (40.758478, -111.888142)",
"Cambridge, MA",2016,31,11,,6,,5,,,-,,-,,-,1,,"Cambridge, MA (42.365248, -71.105015)",
"Scranton, PA",2016,31,20,,16,,3,,1,,,-,,-,,-,"Scranton, PA (41.409113, -75.662346)",
"Wilmington, DE",2016,31,8,,8,,,-,,-,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"Lexington, KY",2016,31,80,,49,,18,,8,,2,,3,,1,,"Lexington, KY (34.052238, -118.243344)",
"Spokane, WA",2016,31,70,,48,,15,,7,,,-,,-,5,,"Spokane, WA (47.658999, -117.425022)",
"Miami, FL",2016,31,83,,58,,15,,5,,5,,,-,4,,"Miami, FL (44.977479, -93.264346)",
"Fresno, CA",2016,31,134,,98,,27,,7,,1,,1,,17,,"Fresno, CA (36.731654, -119.785856)",
"Birmingham, AL",2016,31,168,,117,,31,,12,,5,,3,,10,,"Birmingham, AL (33.522859, -86.807705)",
"Atlanta, GA",2016,31,123,,73,,34,,8,,7,,1,,5,,"Atlanta, GA (33.748547, -84.391502)",
"Gary, IN",2016,31,14,,8,,3,,1,,1,,1,,1,,"Gary, IN (42.375508, -87.924192)",
"Baltimore, MD",2016,31,162,,92,,51,,17,,1,,1,,9,,"Baltimore, MD (39.290443, -76.612333)",
"Cincinnati, OH",2016,31,78,,34,,26,,10,,2,,6,,3,,"Cincinnati, OH (39.104427, -84.513808)",
"Tucson, AZ",2016,31,167,,117,,43,,4,,2,,1,,3,,"Tucson, AZ (35.167852, -103.726151)",
"Lansing, MI",2016,31,40,,31,,5,,4,,,-,,-,3,,"Lansing, MI (42.733625, -84.553927)",
"Milwaukee, WI",2016,31,57,,35,,14,,6,,2,,,-,1,,"Milwaukee, WI (43.041072, -87.909421)",
"Montgomery, AL",2016,31,48,,31,,11,,4,,2,,,-,2,,"Montgomery, AL (32.376547, -86.299651)",
"Norfolk, VA",2016,31,34,,18,,15,,,-,1,,,-,,-,"Norfolk, VA (36.846164, -76.285913)",
"Chicago, IL",2016,31,260,,153,,73,,19,,12,,3,,14,,"Chicago, IL (41.775002, -87.696388)",
"New Orleans, LA",2016,31,41,,29,,8,,2,,,-,2,,,-,"New Orleans, LA (29.950621, -90.074948)",
"Memphis, TN",2016,31,172,,100,,42,,20,,8,,2,,8,,"Memphis, TN (35.143378, -90.052136)",
"Austin, TX",2016,31,110,,65,,26,,13,,3,,3,,2,,"Austin, TX (30.264979, -97.746598)",
"Las Vegas, NV",2016,31,343,,229,,84,,21,,7,,2,,23,,"Las Vegas, NV (36.169202, -115.140597)",
"Phoenix, AZ",2016,31,200,,119,,59,,14,,4,,2,,5,,"Phoenix, AZ (30.406931, -87.217578)",
"Schenectady, NY",2016,31,14,,9,,5,,,-,,-,,-,1,,"Schenectady, NY (42.814219, -73.944103)",
"Portland, OR",2016,31,127,,81,,33,,7,,2,,4,,2,,"Portland, OR (45.516018, -122.681425)",
"Santa Cruz, CA",2016,31,37,,24,,11,,2,,,-,,-,2,,"Santa Cruz, CA (32.71576, -117.163817)",
"Akron, OH",2016,31,41,,25,,9,,3,,2,,2,,,-,"Akron, OH (41.084821, -81.515607)",
"Boston, MA",2016,31,138,,73,,46,,13,,4,,2,,11,,"Boston, MA (42.358894, -71.056742)",
"Paterson, NJ",2016,31,6,,3,,1,,2,,,-,,-,,-,"Paterson, NJ (40.916612, -74.172191)",
"Worcester, MA",2016,31,55,,34,,20,,,-,,-,1,,9,,"Worcester, MA (42.262073, -71.802278)",
"Chattanooga, TN",2016,31,96,,56,,22,,14,,,-,4,,9,,"Chattanooga, TN (35.045756, -85.308287)",
"Little Rock, AR",2016,31,82,,59,,16,,4,,1,,2,,8,,"Little Rock, AR (34.748745, -92.275105)",
"Tacoma, WA",2016,31,145,,103,,29,,10,,2,,1,,8,,"Tacoma, WA (32.221878, -110.971225)",
"Des Moines, IA",2016,31,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Pasadena, CA",2016,31,27,,20,,6,,1,,,-,,-,6,,"Pasadena, CA (34.14955, -118.141452)",
"St. Petersburg, FL",2016,31,76,,50,,22,,,-,2,,2,,6,,"St. Petersburg, FL (27.772069, -82.638488)",
"Tulsa, OK",2016,31,106,,79,,17,,4,,5,,1,,6,,"Tulsa, OK (61.096484, -160.967455)",
"Indianapolis, IN",2016,31,186,,118,,45,,14,,4,,5,,8,,"Indianapolis, IN (39.76845, -86.156212)",
"Jacksonville, FL",2016,31,132,,81,,33,,13,,4,,1,,6,,"Jacksonville, FL (30.325968, -81.65676)",
"Grand Rapids, MI",2016,31,54,,34,,11,,4,,1,,4,,2,,"Grand Rapids, MI (47.925705, -97.036068)",
"Los Angeles, CA",2016,31,252,,152,,71,,16,,7,,6,,17,,"Los Angeles, CA (34.052238, -118.243344)",
"Columbus, OH",2016,31,282,,192,,64,,14,,6,,6,,10,,"Columbus, OH (39.962649, -82.996216)",
"Utica, NY",2016,31,14,,9,,5,,,-,,-,,-,1,,"Utica, NY (39.800598, -104.997498)",
"Albuquerque, NM",2016,31,139,,97,,31,,8,,3,,,-,9,,"Albuquerque, NM (35.084248, -106.649241)",
"St. Paul, MN",2016,31,61,,37,,16,,7,,,-,1,,3,,"St. Paul, MN (44.943719, -93.094281)",
"Hartford, CT",2016,31,52,,33,,14,,4,,1,,,-,4,,"Hartford, CT (41.765775, -72.673356)",
"Glendale, CA",2016,31,38,,29,,9,,,-,,-,,-,5,,"Glendale, CA (34.148138, -118.246437)",
"Springfield, MA",2016,31,34,,21,,8,,3,,2,,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Berkeley, CA",2016,31,3,,3,,,-,,-,,-,,-,,-,"Berkeley, CA (40.692529, -73.990996)",
"St. Louis, MO",2016,31,110,,62,,30,,10,,2,,4,,3,,"St. Louis, MO (38.630276, -90.200309)",
"Nashville, TN",2016,31,150,,94,,43,,8,,4,,1,,5,,"Nashville, TN (36.166687, -86.779932)",
"Yonkers, NY",2016,31,20,,15,,3,,,-,,-,1,,1,,"Yonkers, NY (40.932014, -73.896052)",
"New Bedford, MA",2016,31,25,,22,,3,,,-,,-,,-,,-,"New Bedford, MA (41.63405, -70.92766)",
"Syracuse, NY",2016,31,76,,57,,15,,1,,2,,1,,6,,"Syracuse, NY (43.047945, -76.147448)",
"Seattle, WA",2016,31,,U,,U,,U,,U,,U,,U,,U,"Seattle, WA (47.603229, -122.33028)",
"Duluth, MN",2016,31,31,,25,,6,,,-,,-,,-,2,,"Duluth, MN (28.917512, -81.221278)",
"Lynn, MA",2016,31,3,,1,,1,,1,,,-,,-,,-,"Lynn, MA (20.841375, -156.933118)",
New England,2016,32,503,,341,,101,,39,,14,,8,,33,,,
Mid. Atlantic,2016,32,1628,,1133,,355,,106,,22,,11,,62,,,
E.N. Central,2016,32,2027,,1297,,492,,147,,45,,46,,105,,,
W.N. Central,2016,32,532,,359,,130,,20,,16,,6,,29,,,
S. Atlantic,2016,32,863,,520,,243,,58,,23,,19,,42,,,
E.S. Central,2016,32,974,,643,,239,,55,,17,,20,,63,,,
W.S. Central,2016,32,1417,,861,,357,,110,,45,,44,,64,,,
Mountain,2016,32,1094,,680,,289,,86,,29,,10,,48,,,
Pacific,2016,32,1633,,1132,,354,,90,,35,,22,,109,,,
Total_,2016,32,10671,,6966,,2560,,711,,246,,186,,555,,,
"Elizabeth, NJ",2016,32,16,,11,,3,,2,,,-,,-,,-,"Elizabeth, NJ (40.661927, -74.211653)",
"Chicago, IL",2016,32,238,,146,,58,,22,,6,,6,,9,,"Chicago, IL (41.775002, -87.696388)",
"Houston, TX",2016,32,375,,228,,92,,27,,15,,13,,9,,"Houston, TX (29.760803, -95.369506)",
"Portland, OR",2016,32,127,,76,,37,,6,,5,,3,,,-,"Portland, OR (45.516018, -122.681425)",
"San Antonio, TX",2016,32,295,,184,,78,,19,,10,,4,,16,,"San Antonio, TX (29.425173, -98.494599)",
"Erie, PA",2016,32,38,,25,,9,,2,,1,,1,,1,,"Erie, PA (34.1647, -114.300301)",
"Lowell, MA",2016,32,20,,14,,3,,2,,1,,,-,2,,"Lowell, MA (40.672798, -76.279404)",
Total_,2016,38,11227,,7457,,2532,,765,,261,,205,,646,,,
"Minneapolis, MN",2016,32,71,,48,,16,,3,,1,,3,,4,,"Minneapolis, MN (44.977479, -93.264346)",
"Lansing, MI",2016,32,62,,40,,13,,8,,1,,,-,4,,"Lansing, MI (42.733625, -84.553927)",
"South Bend, IN",2016,32,44,,33,,9,,,-,,-,2,,3,,"South Bend, IN (41.675032, -86.251962)",
"Kansas City, MO",2016,32,70,,50,,15,,4,,1,,,-,4,,"Kansas City, MO (39.099792, -94.578559)",
"Hartford, CT",2016,32,48,,34,,10,,1,,2,,1,,4,,"Hartford, CT (41.765775, -72.673356)",
"Lynn, MA",2016,32,8,,5,,2,,1,,,-,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"El Paso, TX",2016,32,91,,48,,25,,14,,3,,1,,,-,"El Paso, TX (31.76006, -106.492257)",
"Tacoma, WA",2016,32,108,,77,,20,,7,,2,,2,,6,,"Tacoma, WA (32.221878, -110.971225)",
"Fresno, CA",2016,32,124,,84,,32,,3,,2,,3,,9,,"Fresno, CA (36.731654, -119.785856)",
"Baltimore, MD",2016,32,175,,86,,61,,18,,7,,3,,5,,"Baltimore, MD (39.290443, -76.612333)",
"Grand Rapids, MI",2016,32,52,,35,,12,,1,,,-,4,,6,,"Grand Rapids, MI (47.925705, -97.036068)",
"Cleveland, OH",2016,32,239,,158,,59,,15,,5,,2,,9,,"Cleveland, OH (41.505546, -81.6915)",
"Philadelphia, PA",2016,32,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"St. Petersburg, FL",2016,32,73,,56,,14,,2,,,-,1,,2,,"St. Petersburg, FL (27.772069, -82.638488)",
"Mobile, AL",2016,32,88,,65,,17,,3,,1,,2,,8,,"Mobile, AL (34.661541, -77.695461)",
"Norfolk, VA",2016,32,36,,23,,13,,,-,,-,,-,1,,"Norfolk, VA (36.846164, -76.285913)",
"New Bedford, MA",2016,32,22,,12,,8,,1,,1,,,-,,-,"New Bedford, MA (41.63405, -70.92766)",
"Shreveport, LA",2016,32,55,,38,,14,,1,,,-,2,,,-,"Shreveport, LA (32.51424, -93.747757)",
"Berkeley, CA",2016,32,10,,8,,1,,1,,,-,,-,,-,"Berkeley, CA (40.692529, -73.990996)",
"Canton, OH",2016,32,30,,19,,8,,1,,1,,1,,2,,"Canton, OH (39.945208, -75.118833)",
"Charlotte, NC",2016,32,143,,84,,39,,12,,5,,3,,6,,"Charlotte, NC (35.222936, -80.840161)",
"Jacksonville, FL",2016,32,139,,90,,31,,10,,4,,4,,11,,"Jacksonville, FL (30.325968, -81.65676)",
"San Jose, CA",2016,32,178,,130,,29,,13,,4,,2,,11,,"San Jose, CA (35.398134, -105.477067)",
"Glendale, CA",2016,32,30,,26,,2,,2,,,-,,-,5,,"Glendale, CA (34.148138, -118.246437)",
"Los Angeles, CA",2016,32,277,,177,,64,,22,,10,,4,,24,,"Los Angeles, CA (34.052238, -118.243344)",
"Buffalo, NY",2016,32,71,,45,,21,,4,,1,,,-,8,,"Buffalo, NY (39.945422, -78.64671)",
"Cambridge, MA",2016,32,9,,7,,1,,1,,,-,,-,,-,"Cambridge, MA (42.365248, -71.105015)",
"Camden, NJ",2016,32,19,,8,,6,,2,,2,,1,,,-,"Camden, NJ (39.945208, -75.118833)",
"Albany, NY",2016,32,49,,30,,16,,3,,,-,,-,4,,"Albany, NY (42.651242, -73.755418)",
"Fall River, MA",2016,32,20,,17,,1,,1,,1,,,-,,-,"Fall River, MA (41.701025, -71.155389)",
"Akron, OH",2016,32,53,,38,,6,,9,,,-,,-,2,,"Akron, OH (41.084821, -81.515607)",
"Milwaukee, WI",2016,32,94,,51,,27,,11,,1,,4,,3,,"Milwaukee, WI (43.041072, -87.909421)",
"Schenectady, NY",2016,32,22,,13,,8,,,-,1,,,-,2,,"Schenectady, NY (42.814219, -73.944103)",
"Tampa, FL",2016,32,119,,72,,32,,9,,2,,4,,10,,"Tampa, FL (37.8606, -78.804199)",
"Lexington, KY",2016,32,54,,47,,5,,1,,1,,,-,,-,"Lexington, KY (34.052238, -118.243344)",
"Cincinnati, OH",2016,32,65,,30,,23,,2,,6,,4,,2,,"Cincinnati, OH (39.104427, -84.513808)",
"Indianapolis, IN",2016,32,190,,116,,55,,13,,2,,4,,10,,"Indianapolis, IN (39.76845, -86.156212)",
"Evansville, IN",2016,32,52,,34,,14,,3,,,-,1,,1,,"Evansville, IN (37.975708, -87.569907)",
"Memphis, TN",2016,32,204,,122,,59,,17,,5,,1,,15,,"Memphis, TN (35.143378, -90.052136)",
"Kansas City, KS",2016,32,21,,15,,5,,,-,1,,,-,3,,"Kansas City, KS (39.099792, -94.578559)",
"New York City, NY",2016,32,1042,,729,,232,,62,,11,,7,,34,,"New York City, NY (40.123164, -75.333718)",
"San Diego, CA",2016,32,153,,107,,34,,9,,1,,2,,9,,"San Diego, CA (32.71576, -117.163817)",
"Fort Wayne, IN",2016,32,119,,72,,31,,10,,4,,2,,12,,"Fort Wayne, IN (41.331128, -73.987189)",
"Spokane, WA",2016,32,60,,42,,17,,1,,,-,,-,2,,"Spokane, WA (47.658999, -117.425022)",
"Des Moines, IA",2016,32,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Peoria, IL",2016,32,51,,40,,7,,3,,,-,1,,2,,"Peoria, IL (32.283586, -90.10038)",
"Boston, MA",2016,32,133,,79,,27,,19,,4,,4,,8,,"Boston, MA (42.358894, -71.056742)",
"Little Rock, AR",2016,32,77,,35,,23,,11,,6,,2,,6,,"Little Rock, AR (34.748745, -92.275105)",
"Pittsburgh, PA_",2016,32,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Detroit, MI",2016,32,138,,73,,48,,11,,4,,2,,10,,"Detroit, MI (42.332916, -83.047853)",
"Yonkers, NY",2016,32,13,,10,,3,,,-,,-,,-,2,,"Yonkers, NY (40.932014, -73.896052)",
"Ogden, UT",2016,32,36,,20,,13,,1,,,-,2,,,-,"Ogden, UT (41.222761, -111.970419)",
"Rockford, IL",2016,32,48,,33,,11,,2,,2,,,-,1,,"Rockford, IL (42.266802, -89.088377)",
"Tucson, AZ",2016,32,173,,113,,41,,11,,7,,1,,5,,"Tucson, AZ (35.167852, -103.726151)",
"Miami, FL",2016,32,73,,50,,15,,5,,2,,1,,3,,"Miami, FL (44.977479, -93.264346)",
"Washington, D.C.",2016,32,,U,,U,,U,,U,,U,,U,,U,"Washington, D.C. (38.892062, -77.019912)",
"Utica, NY",2016,32,21,,15,,5,,1,,,-,,-,1,,"Utica, NY (39.800598, -104.997498)",
"Scranton, PA",2016,32,14,,11,,2,,1,,,-,,-,3,,"Scranton, PA (41.409113, -75.662346)",
"Montgomery, AL",2016,32,54,,36,,15,,1,,1,,1,,4,,"Montgomery, AL (32.376547, -86.299651)",
"Duluth, MN",2016,32,25,,16,,7,,1,,1,,,-,1,,"Duluth, MN (28.917512, -81.221278)",
"St. Paul, MN",2016,32,52,,41,,10,,,-,,-,1,,3,,"St. Paul, MN (44.943719, -93.094281)",
"San Francisco, CA",2016,32,140,,94,,34,,6,,4,,2,,7,,"San Francisco, CA (37.78008, -122.420168)",
"Phoenix, AZ",2016,32,189,,97,,60,,23,,7,,2,,9,,"Phoenix, AZ (30.406931, -87.217578)",
"Reading, PA",2016,32,38,,27,,8,,3,,,-,,-,1,,"Reading, PA (40.336919, -75.921965)",
"Colorado Springs, CO",2016,32,25,,19,,5,,,-,,-,1,,,-,"Colorado Springs, CO (38.835224, -104.819798)",
"Knoxville, TN",2016,32,117,,74,,32,,8,,1,,2,,7,,"Knoxville, TN (35.962631, -83.916677)",
"Chattanooga, TN",2016,32,91,,64,,18,,3,,,-,6,,6,,"Chattanooga, TN (35.045756, -85.308287)",
"Providence, RI",2016,32,81,,60,,16,,3,,1,,1,,10,,"Providence, RI (41.824461, -71.412747)",
"Atlanta, GA",2016,32,,U,,U,,U,,U,,U,,U,,U,"Atlanta, GA (33.748547, -84.391502)",
"Pueblo, CO",2016,32,11,,7,,4,,,-,,-,,-,1,,"Pueblo, CO (28.151559, -82.351822)",
"Denver, CO",2016,32,,U,,U,,U,,U,,U,,U,,U,"Denver, CO (39.738453, -104.984853)",
"Dallas, TX",2016,32,195,,116,,51,,16,,3,,9,,11,,"Dallas, TX (37.691113, -122.472221)",
"Boise, ID",2016,32,64,,41,,17,,4,,2,,,-,2,,"Boise, ID (43.597772, -83.884521)",
"Seattle, WA",2016,32,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Dayton, OH",2016,32,123,,90,,22,,7,,2,,2,,7,,"Dayton, OH (39.760982, -84.192203)",
"Somerville, MA",2016,32,5,,5,,,-,,-,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Wichita, KS",2016,32,79,,47,,25,,3,,4,,,-,5,,"Wichita, KS (39.960481, -75.605214)",
"Long Beach, CA",2016,32,45,,28,,11,,3,,2,,1,,6,,"Long Beach, CA (33.767168, -118.193723)",
"Richmond, VA",2016,32,42,,23,,14,,2,,2,,1,,2,,"Richmond, VA (37.540759, -77.433932)",
"Tulsa, OK",2016,32,,-,,-,,-,,-,,-,,-,,-,"Tulsa, OK (61.096484, -160.967455)",
"Rochester, NY",2016,32,143,,116,,15,,9,,3,,,-,4,,"Rochester, NY (43.155708, -77.612547)",
"Waterbury, CT",2016,32,29,,18,,10,,1,,,-,,-,2,,"Waterbury, CT (41.554261, -73.043069)",
"St. Louis, MO",2016,32,68,,37,,23,,5,,2,,,-,3,,"St. Louis, MO (38.630276, -90.200309)",
"Santa Cruz, CA",2016,32,29,,21,,5,,2,,1,,,-,1,,"Santa Cruz, CA (32.71576, -117.163817)",
"Paterson, NJ",2016,32,5,,2,,1,,1,,1,,,-,,-,"Paterson, NJ (40.916612, -74.172191)",
"Lincoln, NE",2016,32,50,,35,,13,,2,,,-,,-,4,,"Lincoln, NE (40.813599, -96.70261)",
"Newark, NJ",2016,32,35,,17,,10,,8,,,-,,-,,-,"Newark, NJ (41.433057, -71.460182)",
"Salt Lake City, UT",2016,32,132,,82,,31,,11,,5,,3,,6,,"Salt Lake City, UT (40.758478, -111.888142)",
"Pasadena, CA",2016,32,30,,24,,5,,1,,,-,,-,3,,"Pasadena, CA (34.14955, -118.141452)",
"Birmingham, AL",2016,32,199,,123,,54,,12,,5,,5,,12,,"Birmingham, AL (33.522859, -86.807705)",
"Syracuse, NY",2016,32,79,,60,,11,,5,,1,,2,,2,,"Syracuse, NY (43.047945, -76.147448)",
"Fort Worth, TX",2016,32,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Allentown, PA",2016,32,23,,14,,5,,3,,1,,,-,,-,"Allentown, PA (40.602753, -75.469759)",
"Baton Rouge, LA",2016,32,87,,55,,19,,4,,2,,7,,5,,"Baton Rouge, LA (30.443319, -91.187488)",
"Albuquerque, NM",2016,32,139,,90,,32,,14,,3,,,-,7,,"Albuquerque, NM (35.084248, -106.649241)",
"Wilmington, DE",2016,32,16,,13,,3,,,-,,-,,-,2,,"Wilmington, DE (39.744432, -75.5451)",
"Sacramento, CA",2016,32,236,,175,,48,,8,,2,,3,,12,,"Sacramento, CA (38.582087, -121.50012)",
"Nashville, TN",2016,32,167,,112,,39,,10,,3,,3,,11,,"Nashville, TN (36.166687, -86.779932)",
"Austin, TX",2016,32,108,,71,,27,,7,,2,,1,,5,,"Austin, TX (30.264979, -97.746598)",
"Springfield, MA",2016,32,38,,27,,8,,1,,2,,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Worcester, MA",2016,32,61,,41,,11,,6,,2,,1,,4,,"Worcester, MA (42.262073, -71.802278)",
"Jersey City, NJ",2016,32,,U,,U,,U,,U,,U,,U,,U,"Jersey City, NJ (40.717495, -74.044111)",
"Las Vegas, NV",2016,32,325,,211,,86,,22,,5,,1,,18,,"Las Vegas, NV (36.169202, -115.140597)",
"Columbus, OH",2016,32,268,,168,,60,,21,,10,,9,,13,,"Columbus, OH (39.962649, -82.996216)",
"Gary, IN",2016,32,11,,4,,3,,3,,1,,,-,,-,"Gary, IN (42.375508, -87.924192)",
"Corpus Christi, TX",2016,32,58,,42,,12,,3,,,-,1,,12,,"Corpus Christi, TX (27.796416, -97.404131)",
"Youngstown, OH",2016,32,70,,55,,13,,2,,,-,,-,2,,"Youngstown, OH (41.100083, -80.649387)",
"Toledo, OH",2016,32,80,,62,,13,,3,,,-,2,,7,,"Toledo, OH (41.655298, -83.535717)",
"Savannah, GA",2016,32,47,,23,,21,,,-,1,,2,,,-,"Savannah, GA (40.115007, -111.654713)",
"New Haven, CT",2016,32,,U,,U,,U,,U,,U,,U,,U,"New Haven, CT (42.856701, -78.741699)",
"New Orleans, LA",2016,32,76,,44,,16,,8,,4,,4,,,-,"New Orleans, LA (29.950621, -90.074948)",
"Omaha, NE",2016,32,96,,70,,16,,2,,6,,2,,2,,"Omaha, NE (46.07035, -93.666319)",
"Bridgeport, CT",2016,32,29,,22,,4,,2,,,-,1,,3,,"Bridgeport, CT (41.179195, -73.189476)",
"Honolulu, HI",2016,32,86,,63,,15,,6,,2,,,-,14,,"Honolulu, HI (21.30992, -157.858158)",
New England,2016,33,464,,326,,79,,34,,7,,18,,32,,,
Mid. Atlantic,2016,33,1614,,1141,,325,,110,,23,,15,,73,,,
E.N. Central,2016,33,1849,,1213,,431,,128,,48,,29,,103,,,
W.N. Central,2016,33,633,,377,,179,,40,,19,,16,,33,,,
S. Atlantic,2016,33,1054,,648,,282,,73,,30,,21,,54,,,
E.S. Central,2016,33,929,,629,,218,,44,,23,,15,,57,,,
W.S. Central,2016,33,1707,,1057,,425,,145,,41,,39,,98,,,
Mountain,2016,33,1146,,724,,277,,85,,38,,21,,61,,,
Pacific,2016,33,1658,,1127,,381,,87,,34,,29,,108,,,
Total_,2016,33,11054,,7242,,2597,,746,,263,,203,,619,,,
"Youngstown, OH",2016,33,64,,50,,11,,2,,1,,,-,3,,"Youngstown, OH (41.100083, -80.649387)",
"Tampa, FL",2016,33,112,,68,,37,,4,,2,,1,,2,,"Tampa, FL (37.8606, -78.804199)",
"Mobile, AL",2016,33,91,,68,,18,,5,,,-,,-,4,,"Mobile, AL (34.661541, -77.695461)",
"Montgomery, AL",2016,33,43,,31,,10,,,-,2,,,-,4,,"Montgomery, AL (32.376547, -86.299651)",
"Boise, ID",2016,33,60,,37,,17,,,-,2,,4,,4,,"Boise, ID (43.597772, -83.884521)",
"Newark, NJ",2016,33,33,,17,,12,,3,,,-,1,,,-,"Newark, NJ (41.433057, -71.460182)",
"Lexington, KY",2016,33,95,,86,,7,,2,,,-,,-,,-,"Lexington, KY (34.052238, -118.243344)",
"Shreveport, LA",2016,33,77,,48,,17,,9,,1,,2,,2,,"Shreveport, LA (32.51424, -93.747757)",
"Utica, NY",2016,33,18,,13,,3,,2,,,-,,-,1,,"Utica, NY (39.800598, -104.997498)",
"Seattle, WA",2016,33,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Lincoln, NE",2016,33,61,,47,,10,,3,,,-,1,,3,,"Lincoln, NE (40.813599, -96.70261)",
"Chattanooga, TN",2016,33,90,,56,,27,,4,,1,,2,,3,,"Chattanooga, TN (35.045756, -85.308287)",
"Phoenix, AZ",2016,33,217,,112,,66,,23,,9,,6,,11,,"Phoenix, AZ (30.406931, -87.217578)",
